Open Orders
Open Date,Symbol,Action,Lots,Open Price,TP,SL
02/10/2014 00:05,USDCAD,Buy Stop,0.23,1.1084,1.11829,1.09852
02/10/2014 00:06,EURCAD,Buy Stop,0.22,1.50752,1.51737,1.49764
02/10/2014 00:08,CADCHF,Sell Stop,0.22,0.81076,0.80272,0.81884
02/10/2014 00:09,CADJPY,Sell Stop,0.22,91.879,90.96300,92.79700
02/10/2014 00:10,AUDJPY,Sell Stop,0.22,90.865,89.95000,91.78200
